,title,imdb_score,genres,actors,directors
21,Alibaba Aur 40 Chor,6.2,"['drama', 'romance', 'action', 'fantasy', 'family']","['Dharmendra', 'Hema Malini', 'Zeenat Aman', 'Prem Chopra', 'Zakir Mukhamedzhanov', 'Sofiko Chiaureli', 'Yelena Sanayeva', 'Frunzik Mkrtchyan', 'Maya-Gozel Aimedova']","['Umesh Mehra', 'Latif Faiziyev']"
22,The Blazing Sun,7.4,"['crime', 'romance', 'drama']","['Faten Hamamah', 'Omar Sharif', 'Zaki Rostom', 'Farid Shawqi', 'Abdel Warith Assir', 'Ahmad Abdel Waress', 'Hamdy Ghaith', 'Abdel Ghani Kamar', 'Zaki Ibrahim']",['Youssef Chahine']
23,Dark Waters,6.7,"['action', 'drama', 'romance', 'thriller']","['Omar Sharif', 'Faten Hamamah', 'Ahmed Ramzy', 'Tewfik El Dekn', 'Ferdoos Mohammed', 'Husain Reyadh']",['Youssef Chahine']
24,We Are All for the Fatherland,6.1,['documentation'],,['Maroun Bagdadi']
25,Singapore,6.4,"['drama', 'thriller', 'crime']","['Shammi Kapoor', 'Padmini', 'Maria Menado', 'Shashikala', 'Agha']",['Shakti Samanta']
26,Monty Python's Fliegender Zirkus,8.1,['comedy'],"['Graham Chapman', 'John Cleese', 'Eric Idle', 'Terry Jones', 'Michael Palin']",['Ian MacNaughton']
27,"Beirut, Oh Beirut",6.4,['drama'],"['Ezzat El Alaili', 'Mireille Maalouf', 'Joseph Bou Nassar', 'Philippe Akiki', 'Ahmed Al Zain']",['Maroun Bagdadi']
28,The Return of the Prodigal Son,7.2,"['music', 'drama', 'crime']","['Mahmoud el-Meliguy', 'Hoda Soltan', 'Shukri Sarhan', 'Soheir El-Morshidy', 'Hesham Selim', 'Majida El Roumi', 'Ali El Sherif', 'Rajaa Hussain', 'Sid Ali Kouiret', 'Ali Mahrez', 'Ahmad Bedir']",['Youssef Chahine']
29,Khoon Khoon,5.1,"['crime', 'thriller']","['Mahendra Sandhu', 'Danny Denzongpa', 'Jagdeep', 'Faryal', 'Padma Khanna', 'Asit Sen', 'Karan Dewan', 'Agha', 'Murad', 'Sabina']",['Mohammed Hussain']
30,Manoranjan,6.5,"['romance', 'drama', 'comedy']",,['Suhail Tatari']
31,Ujala,6.6,"['romance', 'crime', 'drama']","['Mala Sinha', 'Shammi Kapoor', 'Raaj Kumar', 'Leela Chitnis', 'Kumkum', 'Dhumal', 'Tun Tun', 'Asrani', 'Suresh']",
32,Whispers,7.8,['documentation'],['Nadia Tueni'],['Maroun Bagdadi']
33,Chadi Jawani Budhe Nu,4.6,['romance'],,['A. Salaam']
34,Bandie,4.4,"['drama', 'action', 'romance']","['Uttam Kumar', 'Sulakshana Pandit', 'Utpal Dutt']",['Alo Sarkar']
35,Seinfeld,8.9,['comedy'],"['Jerry Seinfeld', 'Jason Alexander', 'Michael Richards', 'Julia Louis-Dreyfus']",
36,GoodFellas,8.7,"['drama', 'crime']","['Ray Liotta', 'Robert De Niro', 'Joe Pesci', 'Lorraine Bracco', 'Paul Sorvino', 'Frank Sivero', 'Tony Darrow', 'Mike Starr', 'Frank Vincent', 'Chuck Low', 'Frank DiLeo', 'Henny Youngman', 'Gina Mastrogiacomo', 'Catherine Scorsese', 'Charles Scorsese', 'Suzanne Shepherd', 'Debi Mazar', 'Margo Winkler', 'Welker White', 'Jerry Vale', 'Julie Garfield', 'Christopher Serrone', 'Elaine Kagan', 'Beau Starr', 'Kevin Corrigan', 'Michael Imperioli', 'Robbie Vinton', 'Johnny Williams', 'Daniel P. Conte', 'Tony Conforti', 'Frank Pellegrino', 'Ronald Maccone', 'Tony Sirico', ""Joseph D'Onofrio"", 'Steve Forleo', 'Richard Dioguardi', 'Frank Adonis', 'John Manca', 'Joseph Bono', 'Katherine Wallach', 'Mark Evan Jacobs', 'Angela Pietropinto', 'Marianne Leone Cooper', 'Marie Michaels', 'LoNardo', 'Melissa Prophet', 'Illeana Douglas', 'Susan Varon', 'Elizabeth Whitcraft', 'Clem Caserta', 'Samuel L. Jackson', 'Fran McGee', 'Paul Herman', 'Edward McDonald', 'Edward Hayes', 'Gina Mattia', 'Joel Calendrillo', 'Anthony Valentin', 'Edward D. Murphy', 'Michael Citriniti', 'Peter Hock', 'Erasmus C. Alfano', 'John Di Benedetto', 'Manny Alfaro', 'Thomas Lowry', 'Margaret Smith', 'Richard Mullally', 'Frank Albanese', 'Paul McIsaac', 'Bob Golub', 'Louis Eppolito', 'Tony Lip', 'Mikey Black', 'Peter Cicale', 'Anthony Powers', 'Vincent Pastore', 'Anthony Alessandro', 'Victor Colicchio', 'Mike Contessa', 'Philip Suriano', 'Paul Mougey', 'Norman Barbera', 'Anthony Polemeni', 'James Quattrochi', 'Lawrence Sacco', 'Dino Laudicina', 'Irving Welzer', 'Jesse Kirtzman', 'Russell Halley', 'Spencer Bradley', 'Bob Altman', 'Joanna Bennett', 'Gayle Lewis', 'Gaetano Lisi', 'Luke Walter', 'Ed Deacy', 'Larry Silvestri', ""John 'Cha Cha' Ciarcia"", 'Vito Picone', 'Janis Corsair', 'Lisa D’Apolito', 'Frank Aquilino', 'Vito Antuofermo', 'Vincent Gallo', 'Gaetano LoGiudice', 'Garry Pastore', 'Nicole Burdette', 'Stella Keitel', 'Dominique DeVito', 'Michaelangelo Graziano', 'Paula Kcira', 'Nadine Kay', 'Tony Ellis', 'Peter Onorati', 'Jamie deRoy', 'Joel Blake', 'H. Clay Dear', 'Thomas Hewson', 'Gene Canfield', 'Margaux Guerard', 'Violet Gaynor', 'Tobin Bell', 'Berlinda Tolbert', 'Nancy Cassaro', 'Adam Wandt', 'Joe Gioco', 'Isiah Whitlock Jr.', 'Alyson Jones', 'Ruby Gaynor', 'Bo Dietl', 'Frank Cassini', 'Anthony Caso', 'Lisa Bostnar', 'Billy L. Sullivan', 'Daniela Barbosa']",['Martin Scorsese']
37,Full Metal Jacket,8.3,"['war', 'drama']","['Matthew Modine', 'Adam Baldwin', ""Vincent D'Onofrio"", 'R. Lee Ermey', 'Dorian Harewood', 'Arliss Howard', 'Kevyn Major Howard', ""Ed O'Ross"", 'John Terry', 'Bruce Boa', 'Kieron Jecchinis', 'Jon Stafford', 'Tim Colceri', 'Peter Edmund', 'Kirk Taylor', 'Ian Tyler', 'Gary Landon Mills', 'Sal Lopez', 'Papillon Soo', 'Ngoc Le', 'Tan Hung Francione', ""Marcus D'Amico"", 'Costas Dino Chimona', 'Keith Hodiak', 'Peter Merrill', 'Herbert Norville', 'Gil Kopel', 'Philip Bailey', 'Robert E. Hartenberger', 'Steve Hudson', 'John Curtis', 'Chris Maybach', 'Gary Smith', 'Michael Anthony Williams', 'John Wilson', 'Tony Carey', 'Vivian Kubrick', 'Stanley Kubrick', 'David Palffy', 'John Ward', 'David George']",['Stanley Kubrick']
38,Once Upon a Time in America,8.3,"['crime', 'drama', 'european']","['Robert De Niro', 'James Woods', 'Elizabeth McGovern', 'Joe Pesci', 'Tuesday Weld', 'Burt Young', 'Treat Williams', 'Danny Aiello', 'Richard Bright', 'James Hayden', 'William Forsythe', 'Darlanne Fluegel', 'Larry Rapp', 'Olga Karlatos', 'Frank Gio', 'Jennifer Connelly', 'Scott Schutzman Tiler', 'Rusty Jacobs', 'Brian Bloom', 'Mike Monetti', 'Adrian Curran', 'Julie Cohen', 'Noah Moazezi', 'James Russo', 'Clem Caserta', 'Frank Sisto', 'Jerry Strivelli', 'Mike Gendel', 'Sandra Solberg', 'Margherita Pace', 'Paul Herman', 'Bruno Iannone', 'Bruno Bilotta', 'Ray Dittrich', 'Richard Foronjy', 'Mario Brega', 'Angelo Florio', 'Marcia Jean Kurtz', 'Gerard Murphy', 'Dutch Miller', 'Robert Harper', 'Amy Ryder', 'Karen Shallo', 'Frankie Caserta', 'Joey Marzella', 'Marvin Scott', 'Ann Neville', 'Joey Faye', 'Linda Ipanema', 'Tandy Cronyn', 'Richard Zobel', 'Baxter Harris', 'Arnon Milchan', 'Marty Licata', 'Estelle Harris', 'Gerritt Debeer', 'Alexander Godfrey', 'Cliff Cudney', 'Paul Farentino', 'Bruce Bahrenburg', 'Mort Freeman', 'Massimo Liti', 'Jay Zeely', 'Salvatore Billa', 'Greg Anthony', 'Scott Coffey', 'Matteo Cafiso', 'Nunzio Giuliani', 'Nelson Camp', 'Dario Iori', 'Ole Jorgensen', 'Francesca Leone', 'Chuck Low', 'Ron Nummi', 'Ryan Paris', 'Nicola Roberto', 'Gianni Sanjust', 'Alex Serra', 'Susan Spafford', 'Mark Frazer', 'Maria Pia Monicelli', 'Louise Fletcher', 'Claudio Mancini']",['Sergio Leone']
39,When Harry Met Sally...,7.7,"['comedy', 'romance', 'drama']","['Billy Crystal', 'Meg Ryan', 'Carrie Fisher', 'Bruno Kirby', 'Steven Ford', 'Lisa Jane Persky', 'Michelle Nicastro', 'Gretchen Palmer', 'Robert Alan Beuth', 'David Burdick', 'Joe Viviani', 'Harley Jane Kozak', 'Joseph Hunt', 'Kevin Rooney', 'Franc Luz', 'Tracy Reiner', 'Kyle T. Heffner', 'Kimberley LaMarque', 'Stacey Katzin', 'Estelle Reiner', 'John Arceri', 'Connie Sawyer', 'Kuno Sponholz', 'Katherine Squire', 'Frances Chaney', 'Bernie Hern', 'Rose Wright', 'Aldo Rossi', 'Dona Hardy', 'Peter Pan', 'Jane Chung', 'Bob Ader', 'Jeff Dlugolecki', 'Nicholas Glaeser', 'Randy James', 'Stanley Moore', 'Larry Sherman', 'Marilyn Spanier', 'John Speredakos', 'Terry Vaughan', 'Anthony Welch']",['Rob Reiner']
40,A Nightmare on Elm Street,7.4,['horror'],"['Heather Langenkamp', 'Robert Englund', 'John Saxon', 'Ronee Blakley', 'Amanda Wyss', 'Jsu Garcia', 'Johnny Depp', 'Charles Fleischer', 'Joseph Whipp', 'Lin Shaye', 'Joe Unger', 'Mimi Craven', 'Jack Shea', 'Ed Call', 'Sandy Lipton', 'David Andrews', 'Jeff Levine', 'Donna Woodrum', 'Shashawnee Hall', 'Carol Pritikin', 'Brian Reise', 'Ash Adams', 'Don Hannah', 'Leslie Hoffman', 'Paul Grenier', 'Kathi Gibbs', 'Chris Tashima', 'Antonia Yannouli', 'John Richard Petersen', 'Robert Shaye']",['Wes Craven']
