title,country,release_year,rating,duration,description,year_added,month_added,year_month_added,imdb_score,genres,actors,directors
Grown Ups,United States,2010,PG-13,103 min,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",2021,September,"September, 2021",5.9,"['comedy', 'drama', 'european']","['Adam Sandler', 'Kevin James', 'Chris Rock', 'David Spade', 'Rob Schneider', 'Salma Hayek', 'Maria Bello', 'Maya Rudolph', 'Steve Buscemi', 'Joyce Van Patten', 'Colin Quinn', 'Tim Meadows', 'Madison Riley', 'Jamie Chung', 'Ashley Loren', 'Jake Goldberg', 'Cameron Boyce', 'Alexys Nycole Sanchez', 'Nadji Jeter', 'China Anne McClain', 'Ada-Nicole Sanger', 'Frank Gingerich', 'Morgan Gingerich', 'Ebony Jo-Ann', 'Di Quon', 'Dan Patrick', 'Tim Herlihy', 'Sadie Sandler', 'Jackie Sandler', 'Richie Minervini', 'Norm Macdonald', 'Dennis Dugan']",['Dennis Dugan']
Dark Skies,United States,2013,PG-13,97 min,"A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.",2021,September,"September, 2021",6.3,"['scifi', 'thriller', 'horror', 'documentation']","['Keri Russell', 'Josh Hamilton', 'Dakota Goyo', 'J.K. Simmons', 'Trevor St. John', 'Annie Thurman', 'Myndy Crist', 'Josh Wingate', 'Ron Ostrow', 'Alyvia Alyn Lind', 'Kadan Rockett', 'L.J. Benet', 'Rich Hutchman', 'Jake Brennan', 'Marion Kerr', 'Josh Stamberg', 'Tiffany Jeneen', 'Brian Stepanek', 'Judith Moreland', 'Adam Schneider', 'Jessica Borden', 'Kenneth Meseroll', 'Andy Umberger', 'Michael Patrick McGill', 'Alexandra Anthony', 'Scott Anthony', 'Tom Costello', 'Jaeden Bettencourt']",['Scott Stewart']
Paranoia,"United States, India, France",2013,PG-13,106 min,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",2021,September,"September, 2021",,,,
Ankahi Kahaniya,,2021,TV-14,111 min,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",2021,September,"September, 2021",5.5,"['drama', 'romance']","['Kunal Kapoor', 'Zoya Hussain', 'Abhishek Banerjee', 'Rinku Rajguru', 'Delzad Hiwale', 'Palomi Ghosh', 'Nikhil Dwivedi', 'Tj Bhanu']","['Ashwiny Iyer Tiwari', 'Saket Chaudhary', 'Abhishek Chaubey']"
Chicago Party Aunt,,2021,TV-MA,1 Season,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.,2021,September,"September, 2021",5.3,"['animation', 'comedy']","['Lauren Ash', ""Rory O'Malley"", 'RuPaul', 'Jill Talley', 'Ike Barinholtz', 'Jon Barinholtz', ""Da'Vine Joy Randolph"", 'Katie Rich', 'Chris Witaske', 'Benoit Fort', 'Laurence Crouzet']",
Sex Education,United Kingdom,2020,TV-MA,3 Seasons,"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.",2021,September,"September, 2021",8.3,"['drama', 'comedy']","['Asa Butterfield', 'Gillian Anderson', 'Ncuti Gatwa', 'Emma Mackey', 'Connor Swindells', 'Kedar Williams-Stirling', 'Alistair Petrie', 'Mimi Keene', 'Aimee Lou Wood', 'Chaneil Kular', 'Simone Ashley', 'Tanya Reynolds', 'Patricia Allison', 'Mikael Persbrandt', 'Rakhee Thakrar', 'Jemima Kirke', 'Anne-Marie Duff']",
Squid Game,,2021,TV-MA,1 Season,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.",2021,September,"September, 2021",8.0,"['action', 'thriller', 'drama']","['Lee Jung-jae', 'Park Hae-soo', 'Jung Ho-yeon', 'Wi Ha-jun', 'Oh Young-soo', 'Heo Sung-tae', 'Kim Joo-ryoung', 'Anupam Tripathi', 'Lee You-mi']",
Tayo and Little Wizards,,2020,TV-Y7,1 Season,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.,2021,September,"September, 2021",,,,
The Father Who Moves Mountains,,2021,TV-MA,110 min,"When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him.",2021,September,"September, 2021",5.5,"['thriller', 'drama']","['Adrian Titieni', 'Elena Purea', 'Valeriu Andriuță', 'Judith State', 'Cristian Bota', 'Adrian Păduraru', 'Lucian Iftime']",['Daniel Sandu']
The Stronghold,,2021,TV-MA,105 min,"Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.",2021,September,"September, 2021",6.9,"['crime', 'thriller', 'action', 'european']","['Gilles Lellouche', 'François Civil', 'Karim Leklou', 'Adèle Exarchopoulos', 'Cyril Lecomte', 'Kenza Fortas', 'Michaël Abiteboul', 'Idir Azougli', 'Vincent Darmuzey', 'Jean-Yves Berteloot', 'Kaïs Amsis', 'Foued Nabba', 'Abdellah Khoulalene', 'Jacques Kounta']",['Cédric Jimenez']
