title,country,release_year,rating,duration,description,year_added,month_added,year_month_added,imdb_score,genres,actors,directors
House Arrest,India,2019,TV-14,105 min,A world-weary man’s self-imposed home confinement becomes a comedy of errors with the simultaneous arrivals of a peculiar package and a curious journalist.,2019,November,"November, 2019",5.5,['comedy'],"['Ali Fazal', 'Shriya Pilgaonkar', 'Jim Sarbh', 'Barkha Singh', 'Sunil Kumar']","['Shashanka Ghosh', 'Samit Basu']"
I'm with the Band: Nasty Cherry,United States,2019,TV-MA,1 Season,"In an unfiltered, intimate docuseries, pop star mentor Charli XCX finds out what it takes to build – and break – a real, badass all-girl punk band.",2019,November,"November, 2019",,,,
Inheritors,South Korea,2013,TV-14,1 Season,"After a chance encounter in LA, two teens from different social backgrounds reunite at an exclusive high school attended by Korea’s über rich.",2019,November,"November, 2019",,,,
K-On!,Japan,2010,TV-PG,2 Seasons,"When they're not gorging themselves on sugary snacks, four aspiring high school musicians crank out catchy tunes as members of the Light Music Club.",2019,November,"November, 2019",,,,
K-on! the movie,Japan,2011,TV-PG,110 min,The seniors in Sakuragaoka High School's music club live out the graduation trip of their dreams when they celebrate by performing in London.,2019,November,"November, 2019",,,,
Klaus,"Spain, United Kingdom",2019,PG,98 min,"A selfish postman and a reclusive toymaker form an unlikely friendship, delivering joy to a cold, dark town that desperately needs it.",2019,November,"November, 2019",8.1,"['fantasy', 'comedy', 'family', 'animation', 'european']","['Jason Schwartzman', 'J.K. Simmons', 'Rashida Jones', 'Joan Cusack', 'Norm Macdonald', 'Will Sasso', 'Sergio Pablos', 'Mila Brener', 'Neda Margrethe Labba', 'Sydney Brower', 'Teddy Blum', 'Julian Zane', 'Emma Shannon', 'Kendall Joy Hall', 'Sky Alexis', 'Tucker Meek', 'Amanda Philipson', 'Finn Carr', 'Lucian Perez', 'Emma Yarovinsky', 'Jaeden Bettencourt', 'Evan Agos', 'Leo Miller', 'Bailey Rae Fenderson', 'Ayden Soria', 'Reiulf Aleksandersen', 'Matthew McCann', 'Hudson West']",['Sergio Pablos']
La Robe De Mariee Des Cieux,Taiwan,2004,TV-MA,1 Season,"After a chance encounter that ends on bad terms, two clashing strangers soon cross paths again as their fates become inevitably intertwined.",2019,November,"November, 2019",,,,
Llama Llama,United States,2019,TV-Y,2 Seasons,"Beloved children's book character Llama Llama springs to life in this heartwarming series about family, friendship and learning new things.",2019,November,"November, 2019",6.3,"['animation', 'family']",['Jennifer Garner'],
My MVP Valentine,Taiwan,2002,TV-PG,1 Season,"An unfortunate accident alters the life of a high school basketball prodigy, who abandons his beloved sport and becomes entangled in a love triangle.",2019,November,"November, 2019",6.8,['drama'],,
My Sassy Girl,South Korea,2017,TV-14,1 Season,A refined young Joseon scholar's life turns upside down after he rescues a drunk princess who later accuses him of taking something precious from her.,2019,November,"November, 2019",6.8,"['comedy', 'romance']","['Joo Won', 'Oh Yeon-seo', 'Lee Jung-shin', 'Kim Yoon-hye', 'Kwak Hee-Sung', 'Shim Hyung-tak', 'Jung Da-bin', 'Jung Woong-in', 'Son Chang-min', 'Lee Si-eon', 'Yoon Se-ah', 'Seol Jung-hwan', 'Jo Hee-bong', 'Taemi', 'Jang Young-nam', 'Kim Byeong-ok', 'Kang Shin-hyo', 'Seo Eun-ah']",['Oh Jin-seok']
SunGanges,"India, United States",2018,TV-14,74 min,"A trio of filmmakers treks across India to explore the correlation between vanishing rivers, massive energy projects and renewable energy sources.",2019,November,"November, 2019",,,,
The Club,Mexico,2019,TV-MA,1 Season,"A band of misfit rich kids in Mexico strike out on their own selling MDMA and quickly run into trouble with other narcos, the law and their families.",2019,November,"November, 2019",7.9,"['drama', 'comedy']","['Gökçe Bahadır', 'Barış Arduç', 'Fırat Tanış', 'Asude Kalebek', 'Salih Bademci', 'Metin Akdülger', 'Merve Şeyma Zengin', 'İştar Gökseven', 'Doğanay Ünal']",
The Garden of Words,Japan,2013,TV-14,46 min,"When a lonely teenager skips his morning classes to sit in a lovely garden, he meets a mysterious older woman who shares his feelings of alienation.",2019,November,"November, 2019",,,,
The Stranded,Thailand,2019,TV-MA,1 Season,"Trapped on an island destroyed by a tsunami, the students of an elite school try to hold on to hope. But mysterious forces seem to work against them.",2019,November,"November, 2019",6.2,"['drama', 'action']","['Beam Papangkorn', 'Chayanit Chansangavej', 'Chutavuth Pattarakampol', 'Oabnithi Wiwattanawarang', 'Chaleeda Gilbert', 'Ticha Wongtipkanon', 'Pamiga Sooksawee', 'Tatchapol Thitiapichai', 'Tenzing Norgay Trainor', 'Chanya McClory', 'Sinjai Plengpanit', 'Perth Tanapon Sukhumpantanasan', 'Siwat Jumlongkul', 'Pawin Pawin Kulkaranyawich']",['Sophon Sakdaphisit']
The Toys That Made Us,United States,2019,TV-14,3 Seasons,The minds behind history's most iconic toy franchises discuss the rise – and sometimes fall – of their billion-dollar creations.,2019,November,"November, 2019",8.0,"['documentation', 'comedy', 'history']",['Donald Ian Black'],"['Brian Volk-Weiss', 'Tom Stern']"
The Yard,Turkey,2019,TV-MA,2 Seasons,"After a fateful domestic clash, a devoted mother finds herself in prison and fighting to survive in hopes of reuniting with her daughter.",2019,November,"November, 2019",7.1,"['drama', 'crime']","['Demet Evgar', 'Ceren Moray Brun', 'Nursel Köse', 'Kenan Ece', 'Onuryay Evren Tan', 'Şeyla Halis', 'Ayça Damgaci', 'Deniz Can Aktaş']",['Yüksel Aksu']
Westside Story,,2003,TV-14,1 Season,"Spirited high school misfits with hearts of gold begin their journeys into adulthood as they navigate school, friendship, romance and heartbreak.",2019,November,"November, 2019",,,,
Fadily Camara : La plus drôle de tes copines,France,2019,TV-MA,54 min,"Irrepressible French comedian Fadily Camara weaves jokes, vivid characters and physical comedy into a lively stand-up show at La Cigale in Paris.",2019,November,"November, 2019",,,,
My Dear Warrior,Thailand,2019,TV-14,1 Season,"Love leaps off the page when an astronomer magically meets her comic book hero in the flesh, but learns that his fictional problems are very real.",2019,November,"November, 2019",4.9,"['drama', 'romance', 'fantasy']","['Pimchanok Luevisadpaibul', 'Oabnithi Wiwattanawarang', 'Claudia Chakrabandhu', 'Jongjaiphar Suthada']",
Maradona in Mexico,"Argentina, United States, Mexico",2020,TV-MA,1 Season,"In this docuseries, soccer great Diego Maradona comes to Culiacán, the heart of the Sinaloa Cartel, to save the local team, the Dorados, and maybe himself, too.",2019,November,"November, 2019",7.3,"['documentation', 'sport', 'comedy', 'drama']","['Diego Maradona', 'Jarrod Pistilli', 'Dennis Kleinman', 'Vanessa Nicole Hill']",['Angus MacQueen']
Chief of Staff,South Korea,2019,TV-14,2 Seasons,"As a chief of staff in the National Assembly, Jang Tae-jun influences power behind the scenes while pursuing his own ambitions to rise to the top.",2019,November,"November, 2019",,,,
Jeff Garlin: Our Man In Chicago,United States,2019,TV-MA,59 min,"Comedian Jeff Garlin (unintentionally) celebrates his 37th year of stand-up and shares his learnings on love, loss, success and food addiction.",2019,November,"November, 2019",,,,
A Single Man,United States,2009,R,100 min,This stream-of-consciousness drama centers on a day in the life of a gay college professor who's reeling from his longtime lover's recent death.,2019,November,"November, 2019",,,,
Put Your Head on My Shoulder,China,2019,TV-14,1 Season,"On the cusp of graduation, an accounting major searching for her career winds up living with a genius physics student who shakes up her daily routine.",2019,November,"November, 2019",8.0,"['drama', 'comedy', 'romance']","['Xing Fei', 'Lin Yi', 'Tang Xiaotian', 'Zheng Yingchen', 'Sha Yi', 'Mengfan Li', 'Zhou Zixin']",['주둥닝']
To Be of Service,United States,2019,TV-MA,88 min,"Traumatized by combat, newly returned war veterans find solace in service dogs that guide them back to a fulfilling civilian life.",2019,November,"November, 2019",7.3,['documentation'],,['Josh Aronson']
Little Things,India,2019,TV-MA,3 Seasons,"A cohabiting couple in their 20s navigate the ups and downs of work, modern-day relationships and finding themselves in contemporary Mumbai.",2019,November,"November, 2019",8.2,"['drama', 'romance', 'comedy']","['Mithila Palkar', 'Dhruv Sehgal']",
Greatest Events of WWII in Colour,United Kingdom,2019,TV-14,1 Season,"From the attack on Pearl Harbor to D-Day, the most pivotal events of World War II come to life in this vivid docuseries featuring colorized footage.",2019,November,"November, 2019",8.7,"['documentation', 'history', 'war']",['Derek Jacobi'],
Green Eggs and Ham,"United Kingdom, Canada, United States",2019,TV-Y7,1 Season,"On a road trip to save an endangered animal, polar opposites Guy and Sam learn to try new things like friendship – and a certain delectable dish.",2019,November,"November, 2019",8.1,"['animation', 'comedy', 'action', 'family', 'drama', 'fantasy', 'romance']","['José Andrés', 'Michael Douglas', 'Ilana Glazer', 'Diane Keaton', 'Keegan-Michael Key', 'Patricia Clarkson', 'Jillian Bell', 'Adam DeVine']",
Let It Snow,United States,2019,PG-13,93 min,"A snowstorm hits a small town on a cold Christmas Eve, affecting the friendships, love lives and futures of several high school seniors.",2019,November,"November, 2019",5.8,"['romance', 'comedy']","['Isabela Merced', 'Odeya Rush', 'Shameik Moore', 'Kiernan Shipka', 'Jacob Batalon', 'Miles Robbins', 'Mitchell Hope', 'Liv Hewson', 'Joan Cusack', 'Jamie Champagne', 'Jon Champagne', 'Hallea Jones', ""D'Arcy Carden"", 'Mason Gooding', 'Anna Akana', 'Victor Rivers', 'Von Flores', 'Rodrigo Fernandez-Stoll', 'Genevieve DeGraves', 'Briar Nolet', 'Matthew Noszka', 'Journey Christine', 'Tris Ren', 'Angelica Alejandro', 'Andrea De Oliveira', 'Adam Kromachou', 'Eric Weinthal', 'Amy Stewart', 'Karen Waddell', 'David Cotton', 'Rebecca Ablack', 'Christina de la Cruz', 'Shantel Angela Vailloo', 'Biden Hall', 'Scott Hurst', 'Tahirih Vejdani', 'Morrissa Nicole', ""Raevv'n Leedham""]",['Luke Snellin']
Paradise Beach,France,2019,TV-MA,94 min,"Mehdi gets out of prison, planning to settle old scores. But first, he must reconnect with his gang, now living in an idyllic beach resort in Thailand.",2019,November,"November, 2019",4.6,"['action', 'thriller', 'crime', 'drama', 'european']","['Sami Bouajila', 'Tewfik Jallab', 'Mélanie Doutey', 'Hugo Becker', 'Kool Shen', 'Hubert Koundé', 'Seth Gueko', 'Flore Bonaventura', 'Nessbeal', ""Dosseh Dorian N'Goumou"", 'Hache-P']",['Xavier Durringer']
Wild District,Colombia,2019,TV-MA,2 Seasons,"After surrendering to Bogotá police, an ex-guerrilla avoids prison by working undercover to investigate a ruthless enforcer of government corruption.",2019,November,"November, 2019",8.2,"['drama', 'action', 'crime', 'thriller']","['Juan Pablo Raba', 'Cristina Umaña', 'Paula Castaño', 'Juan Fernando Sánchez', 'Camila Sodi', 'Albi De Abreu']",
U Turn,India,2016,TV-14,121 min,A reporter must hunt for the truth behind a strange murder after she crosses paths with a young cop and becomes the investigation's prime suspect.,2019,November,"November, 2019",7.5,"['horror', 'thriller', 'crime', 'drama']","['Shraddha Srinath', 'Skanda Ashok', 'Roger Narayan', 'Dilip Raj', 'Radhika Narayan', 'Pramod Shetty', 'Krishna Hebbale']",['Pawan Kumar']
Burning Cane,United States,2019,TV-MA,78 min,"A small-town Louisiana minister and one of his parishioners cope with grief, alcoholism and a crisis of faith in this dramatic character study.",2019,November,"November, 2019",5.5,['drama'],"['Wendell Pierce', 'Karen Kaia Livers', 'Dominique McClellan', 'Braelyn Kelly', 'Emyri Crutchfield', 'Erika Woods']",['Phillip Michael Youmans']
SCAMS,Japan,2019,TV-14,1 Season,"Hit hard by the Lehman shock, a well-meaning young man joins a phone scam operation and gets increasingly embroiled in the underworld.",2019,November,"November, 2019",,,,
Shadow,"China, Hong Kong",2018,TV-14,116 min,"As three kingdoms struggle for control of a walled city, a figure with a rare power spins a web of intrigue that entangles a king's court.",2019,November,"November, 2019",6.5,"['crime', 'action', 'drama', 'thriller']","['Pallance Dladla', 'Khathu Ramabulana', 'Amanda Du-Pont', 'Tumie Ngumla']",
Luccas Neto in: Summer Camp,Brazil,2019,TV-G,87 min,Luccas and Gi are heading to a world famous gymkhana camp. Only problem: so are their bullies... A fun musical that will get you in a vacation mood.,2019,November,"November, 2019",2.8,['comedy'],"['Luccas Neto', 'Giovanna Alparone', 'Roni Ficher', 'João Pessanha', 'Karol Alves', 'Marianna Antunes', 'Priscilla Peres', 'Gabriela Rodrigues', 'Carolina Saturnino', 'Tainara Oliver', 'Raissa Marquet', 'Gael Rodrigues', 'Ramon Serra', 'Richard Maia', 'Jessi Diehl']",['Lucas Margutti']
Sam & Cat,United States,2014,TV-PG,2 Seasons,"To earn cash, roommates Sam and Cat start a baby-sitting service – and quickly discover just what an adventure baby-sitting can be.",2019,November,"November, 2019",5.6,"['comedy', 'drama', 'family']","['Jennette McCurdy', 'Ariana Grande', 'Cameron Ocasio']",
Seth Meyers: Lobby Baby,United States,2019,TV-MA,61 min,SNL alumnus and subversive master of late-night TV Seth Meyers comes out from behind the desk to share some lighthearted stories from his own life.,2019,November,"November, 2019",7.4,['comedy'],['Seth Meyers'],['Neal Brennan']
The End of the F***ing World,United Kingdom,2019,TV-MA,2 Seasons,A budding teen psychopath and a rebel hungry for adventure embark on a star-crossed road trip in this darkly comic series based on a graphic novel.,2019,November,"November, 2019",8.1,"['drama', 'comedy', 'romance', 'thriller', 'crime']","['Alex Lawther', 'Jessica Barden', 'Josh Dylan', 'Naomi Ackie']",
The Lovers,United States,2017,R,98 min,"On the verge of divorce, a middle-aged couple, each involved in a serious affair, rethink their marriage and the meaning of love and fidelity.",2019,November,"November, 2019",,,,
Tune in for Love,South Korea,2019,TV-MA,123 min,"A student and a reticent teen first meet at a bakery in the 1990s and try to find each other through the years, as fate keeps pulling them apart.",2019,November,"November, 2019",7.1,"['romance', 'drama']","['Kim Go-eun', 'Jung Hae-in', 'Park Hae-jun', 'Kim Kuk-hee', 'Jung Eu-gene', 'Choi Jun-young', 'Nam Moon-chul', 'Shim Dal-gi', 'Yoo Yeol', 'Kim Hyun', 'Heo Ji-na', 'Jang Se-won', 'Na Chul', 'Park Se-hyun', 'Seong Hyeok', 'Song Duk-ho']",['Jung Ji-woo']
Undercover Brother 2,United States,2019,R,85 min,"When a beloved secret agent falls deep into a coma, his bumbling brother must defend their community from a divisive political threat.",2019,November,"November, 2019",3.4,"['comedy', 'action']","['Michael Jai White', 'Barry Bostwick', 'Jeff Daniel Phillips', 'Gary Owen', 'Isabelle Fretheim', 'Affion Crockett', 'Lindsay Lamb', 'Laila Odom', 'L. Warren Young', 'Tyler Crumley', 'Kayla Eva', 'Brandon Hirsch', 'Zac Zedalis', 'Steven Lee Johnson', 'Melanie Loren', 'Josh Daugherty', 'Vince Swann']",['Leslie Small']
Meet the Adebanjos,United Kingdom,2016,TV-PG,3 Seasons,"In South London, tradition clashes with culture as a Nigerian father tries to instill his old-fashioned African values into his modern British family.",2019,November,"November, 2019",7.6,['comedy'],,
Minimalism: A Documentary About the Important Things,United States,2016,TV-14,78 min,People dedicated to rejecting the American ideal that things bring happiness are interviewed in this documentary showing the virtues of less is more.,2019,November,"November, 2019",,,,
Oththa Seruppu Size 7,India,2019,TV-MA,103 min,"Taken into custody, a murder suspect's theatrical explanations of his peculiar modus operandi unearth truths far beyond the crime he’s accused of.",2019,November,"November, 2019",,,,
The Devil Next Door,United States,2019,TV-MA,1 Season,"A Cleveland grandfather is brought to trial in Israel, accused of being the infamous Nazi death camp guard known as Ivan the Terrible.",2019,November,"November, 2019",7.6,"['crime', 'documentation', 'history']",['John Demjanjuk'],
100 Things to do Before High School,United States,2014,TV-Y,44 min,"Led by seventh-grader C.J., three students who have been warned about the dangers of high school decide to make the best of their middle-school years.",2019,November,"November, 2019",,,,
A Fairly Odd Summer,United States,2014,TV-Y7,68 min,"In this live-action adventure, the gang heads to Hawaii, where Timmy learns the source of all fairy magic is in dangerous hands.",2019,November,"November, 2019",3.8,"['fantasy', 'comedy', 'family', 'animation']","['Drake Bell', 'Tara Strong', 'Daniella Monet', 'Scott Baio', 'Daran Norris', 'Ali Liebert', 'Teryl Rothery', 'Ella Anderson', 'Susanne Blakeslee', 'David Lewis', 'Mark Gibbon', 'Karyn Halpin', 'Vincent Tong', 'Devon Weigel', ""Pomaika'i Brown""]",['Savage Steve Holland']
Bella and the Bulldogs,United States,2015,TV-G,1 Season,"The life of cheerleader Bella Dawson turns upside down when, in a twist of fate, she becomes quarterback for her middle school's football team.",2019,November,"November, 2019",4.9,"['comedy', 'family', 'sport']","['Brec Bassinger', 'Buddy Handleson', 'Lilimar', 'Jackie Radinsky', 'Haley Tju', 'Coy Stewart']",
Big Time Movie,"United States, Canada",2012,TV-PG,68 min,"Big Time Rush heads to London for their first world tour, but when the boys' bags are switched, they get mixed up in a mission to save the world.",2019,November,"November, 2019",6.1,"['comedy', 'music', 'family']","['Kendall Schmidt', 'James Maslow', 'Carlos PenaVega', 'Logan Henderson', 'Ciara Bravo', 'Challen Cates', 'Tanya Chisholm', 'Stephen Kramer Glickman', 'Emma Lahana', 'Darren Dolynski', 'Melissa Roxburgh', 'Garry Chalk', 'Emily Holmes', 'Lipe Viana']",['Savage Steve Holland']
Escape from Mr. Lemoncello’s Library,United States,2017,TV-Y,69 min,An eccentric game designer builds a library full of traps and tricks for a group of kids who score the chance to navigate his elaborate scavenger hunt.,2019,November,"November, 2019",,,,
Hey Arnold! The Jungle Movie,"United States, South Korea, Japan",2017,TV-PG,81 min,"When Arnold and his crew win a trip to San Lorenzo, their adventure in the wild forces them to take the same risky path as Arnold's missing parents.",2019,November,"November, 2019",7.5,"['animation', 'comedy', 'family', 'fantasy', 'thriller']","['Mason Vale Cotton', 'Benjamin Flores Jr.', 'Francesca Marie Smith', 'Anndi McAfee', 'Carlos Alazraqui', 'Alfred Molina', 'Justin Shenkarow', 'Antoinette Stella', 'Laya DeLeon Hayes', 'Jamil Walker Smith', 'Nika Futterman', 'Olivia Hack', 'Lane Toran', 'Dan Butler', 'Dan Castellaneta', 'Tress MacNeille', 'Maurice LaMarche', 'Dom Irrera', 'Kath Soucie', 'Danielle Judovits', 'Danny Cooksey', 'Jim Belushi', 'Craig Bartlett', 'Gavin Lewis', 'Jet Jurgensmeyer', 'Aiden Lewandowski', 'Nicolas Cantu', 'Wally Wingert', 'Stephen Stanton']",['Raymie Muzquiz']
Jinxed,"United States, Canada",2013,TV-Y,69 min,"After a century-old curse of bad luck, a determined teen embarks on a journey to break her family’s generational misfortune.",2019,November,"November, 2019",6.3,"['comedy', 'family']","['Ciara Bravo', 'Jack Griffo', 'Jacob Bertrand', 'Elena Kampouris', 'Burkely Duffield', 'Keegan Connor Tracy', 'Donavon Stinson']",['Stephen Herek']
LEGENDS OF THE HIDDEN TEMPLE,United States,2016,TV-PG,68 min,"A trio of siblings gets trapped in a secret temple, where they must navigate a risky obstacle course to make it out. Inspired by the ‘90s game show.",2019,November,"November, 2019",,,,
"Liar, Liar, Vampire",United States,2015,TV-PG,68 min,"When a shy teen transfers to a new school, he elects to mix things up by playing along with the rumor that he's a vampire.",2019,November,"November, 2019",5.7,"['comedy', 'family']","['Rahart Adams', 'Tiera Skovbye', 'Brec Bassinger', 'Larissa Albuquerque', 'Alex Zahara', 'Pauline Egan', 'Olivia Ryan Stern', 'Samuel Patrick Chu', 'Ty Wood', 'Eric Bempong', 'Harrison MacDonald', 'Shawn Robidoux', 'Taylor Tai', 'Sarah Grey']",['Vince Marcello']
The Boy Who Cried Werewolf,"United States, Canada",2010,TV-Y,86 min,"When high school girl-geek Jordan becomes a werewolf after moving to Romania, she must elude her own brother, who sets out to slay her.",2019,November,"November, 2019",5.9,"['fantasy', 'horror', 'family', 'comedy']","['Victoria Justice', 'Chase Ellison', ""Brooke D'Orsay"", 'Matt Winston', 'Steven Grayhm', 'Brooke Shields', 'Anna Galvin', 'Jillian Marie Hubert', 'Valerie Tian', 'Kerry James', 'Andrea Brooks', 'Christie Laing', 'Marci T. House', 'Cainan Wiebe', 'Meshach Peters', 'Heather Doerksen', 'Erica Carroll', 'Alex Diakun', 'Patrick Sabongui', 'Ben Cotton', 'Mark Sweatman', 'Kis Yurij']",['Eric Bross']
The Massively Mixed-Up Middle School Mystery,United States,2015,TV-Y,40 min,"After the school principal gets pranked, a curious crew of preteen super sleuths tests their detective skills to solve an underwater ruse.",2019,November,"November, 2019",7.3,"['comedy', 'thriller']","['Jenna Ortega', 'Haley Tju', 'Adam Hochstetter', 'Garrett Ryan', 'Brianne Tju', 'Nathaniel J. Potvin', 'Scarlett Estevez']",['Will Eisenberg']
Victorious,United States,2013,TV-G,3 Seasons,"When aspiring singer Tori Vega joins the eccentric students at Hollywood Arts High, she struggles to fit in with the amazingly talented teens.",2019,November,"November, 2019",6.9,"['comedy', 'family', 'drama', 'music', 'romance', 'sport']","['Victoria Justice', 'Leon G. Thomas III', 'Matt Bennett', 'Elizabeth Gillies', 'Ariana Grande', 'Avan Jogia']",
A Remarkable Tale,Spain,2019,TV-MA,94 min,"The residents of an isolated town look to revive their home's identity when a group of foreigners unexpectedly arrive, bringing culture shock with them.",2019,November,"November, 2019",5.3,"['comedy', 'drama', 'european']","['Carmen Machi', 'Pepón Nieto', 'Ricardo Nkosi', 'Jimmy Castro', 'Montse Pla', 'Malcolm Treviño-Sitté', 'Kiti Mánver', 'Jon Kortajarena', 'Paco Tous', 'La Terremoto de Alcorcón', 'Pablo Carbonell', 'Txema Blasco', 'Esperanza Elipe', 'Enriqueta Carballeira', 'Mariana Cordero', 'Antonio Sarrió', 'Miquel Cañaveras', 'Santi Ugalde', 'Sonia Almarcha', 'Chani Martín', 'Javier Salvo', 'Elena Uriz', 'Cecilia Sanz', 'Fernando Ustarroz']",['Marina Seresesky']
A Year In Space,United States,2015,TV-PG,1 Season,Two astronauts attempt to brave a life in Earth's orbit on a record-setting mission to see if humans have the endurance to survive a flight to Mars.,2019,November,"November, 2019",,,,
Ad Vitam,France,2018,TV-MA,1 Season,"In a future where regeneration technology lets humans live indefinitely, a cop and a troubled young woman investigate a strange wave of youth suicides.",2019,November,"November, 2019",6.4,"['scifi', 'crime', 'drama']","['Yvan Attal', 'Garance Marillier', 'Niels Schneider', 'Rod Paradot', 'Hanna Schygulla', 'Anne Azoulay', 'Ariane Labed', 'Victor Assié', 'Anthony Bajon', 'Julie Moulier', 'Adel Bencherif']","['Sébastien Mounier', 'Thomas Cailley']"
American Son,United States,2019,TV-MA,90 min,Time passes and tension mounts in a Florida police station as an estranged interracial couple awaits news of their missing teenage son.,2019,November,"November, 2019",5.8,['drama'],"['Kerry Washington', 'Steven Pasquale', 'Jeremy Jordan', 'Eugene Lee']",['Kenny Leon']
Billy on the Street,United States,2016,TV-14,4 Seasons,"Comedian Billy Eichner sprints through New York with celebrities to stun pedestrians with unapologetic, unfiltered and unique pop culture questions.",2019,November,"November, 2019",,,,
Christmas in the Heartland,United States,2017,TV-PG,112 min,Two girls realize they're both visiting grandparents they’ve never met and decide to switch places to see how the other half lives.,2019,November,"November, 2019",5.8,['family'],"['Sierra McCormick', 'Brighton Sharbino', 'Bo Derek', 'Shelley Long', 'Christopher Rich', 'Joe Don Rooney', 'Tiffany Fallon', 'Paula Trickey', 'Christian Kane', 'Bryan Whorton', 'Jasmine Fontes', 'Betsy Hume', 'Alex Preble', 'Chris Freihofer', 'Harvey Lowry', 'David Lee Anderson', 'Mollie Milligan', 'Connie Franklin', 'J.J. Arends', 'Nick Swezey', 'Maggie McClure', 'Rebecca Brook', 'Becky Bartlett', 'Hannah Snyder', 'Mike McDonald']",['Harvey Lowry']
Christmas Survival,United Kingdom,2018,TV-MA,101 min,"With Christmas just around the corner, sisters Miranda and Lyla bring their families to their childhood home, where rivalries don't take a holiday.",2019,November,"November, 2019",,,,
CLANNAD,Japan,2008,TV-PG,2 Seasons,Maladjusted high school student Tomoya's life begins to change when he befriends his classmate Nagisa and several other eccentric girls.,2019,November,"November, 2019",,,,
Drive,India,2019,TV-14,119 min,"A notorious thief allies with a street racer for a grand heist involving an elaborate game of deceit with authorities, who have their own dirty secrets.",2019,November,"November, 2019",3.1,"['thriller', 'crime', 'drama', 'action']","['Sushant Singh Rajput', 'Jacqueline Fernandez', 'Boman Irani', 'Pankaj Tripathi', 'Sapna Pabbi', 'Vikramjeet Virk']",['Tarun Mansukhani']
Fire in Paradise,United States,2019,TV-MA,40 min,"In this documentary, survivors recall the catastrophic 2018 Camp Fire, which razed the town of Paradise and became California’s deadliest wildfire.",2019,November,"November, 2019",,,,
Haikyu!!,Japan,2015,TV-14,2 Seasons,"Inspired by a championship match he sees on TV, junior high schooler Hinata joins a volleyball club and begins training, despite his short height.",2019,November,"November, 2019",,,,
Holiday in the Wild,United States,2019,TV-PG,86 min,"When her husband abruptly ends their marriage, empty nester Kate embarks on a solo second honeymoon in Africa, finding purpose – and potential romance.",2019,November,"November, 2019",6.1,"['romance', 'comedy', 'drama']","['Rob Lowe', 'Kristin Davis', 'Fezile Mpela', 'John Owen Lowe', 'Colin Moss', 'Hayley Owen', 'Faniswa Yisa', 'Thandi Puren', 'Renate Stuurman', 'Lynita Crofford', 'Keeno Lee Hector', 'Waldemar Schultz', 'Tapiwa Musvosvi', 'Stevel Marc', 'Marty Kint', 'Kgahliso Solomon', 'Chanelys Garcia Nyapisi', 'Oscar Shumbwamuntu', 'Rosanna Minchella']",['Ernie Barbarash']
Holly Star,United States,2018,PG,92 min,"Home for the holidays, a broke puppeteer knows there’s treasure buried somewhere under her town. To find it, all she has to do is die – almost.",2019,November,"November, 2019",,,,
"Love, Chunibyo & Other Delusions!",Japan,2014,TV-PG,2 Seasons,"High schooler Yuta wants to leave his past as a delusional weirdo behind. But his classmate Rikka has her own delusions, and she's interested in his.",2019,November,"November, 2019",,,,
Maid-Sama!,Japan,2010,TV-14,1 Season,"To keep the boys in line, student council president Misaki runs the school with an iron fist – while secretly working as a waitress at a maid café.",2019,November,"November, 2019",,,,
Mobile Suit Gundam: Iron-Blooded Orphans,Japan,2016,TV-14,2 Seasons,"On a terraformed post-disaster Mars, a group of child security agents rebel against the adults who betrayed them and the oppressive Earth government.",2019,November,"November, 2019",7.9,"['war', 'action', 'scifi', 'animation', 'drama']","['Kengo Kawanishi', 'Yoshimasa Hosoya', 'Yuka Terasaki', 'Natsuki Hanae']",
Queer Eye: We're in Japan!,"United States, Japan",2019,TV-14,1 Season,"The Fab Five touch down in Tokyo to spread the joy, explore the culture, and help four Japanese men and women find the confidence to be themselves.",2019,November,"November, 2019",8.2,['reality'],"['Karamo Brown', 'Jonathan van Ness', 'Bobby Berk', 'Antoni Porowski', 'Tan France', 'Kiko Mizuhara']",
Santa Girl,United States,2019,TV-PG,91 min,"Fleeing the family business and an arranged marriage, Santa’s daughter chooses a magical adventure of her own: College.",2019,November,"November, 2019",,,,
The Boulet Brothers Dragula,United States,2019,TV-MA,2 Seasons,"Ten queens must slay the competition and put their fiercest, filthiest faces forward for the chance to be crowned the world's next drag supermonster.",2019,November,"November, 2019",,,,
The Deep,"Canada, Australia",2019,TV-Y7,3 Seasons,"The Nektons are a family of underwater explorers who discover the hidden secrets of the oceans, including sunken cities, sea creatures and pirates.",2019,November,"November, 2019",7.8,"['action', 'family', 'scifi', 'animation']","['Vincent Tong', 'Ashleigh Ball', 'Michael Dobson', 'Kathleen Barr', 'Lee Tockar']",
The House of Flowers Presents: The Funeral,,2019,TV-MA,36 min,The de la Mora siblings publicly mourn the death of their mother amid multiple surprises and mishaps at Virginia's funeral.,2019,November,"November, 2019",,,,
